name,rating,price_original,price_current,discount_percent,days_until_sale,genre,reviews_count,player_trend,will_be_discounted
Mortal Kombat 11,51.7,30.52,18.31,40.0,15.0,Shooter,57427.0,growing,1
Path of Exile,82.83,58.36,23.34,60.0,10.0,Shooter,39373.0,falling,1
Doom Eternal,50.19,6.5,6.5,0.0,0.0,Fighting,12935.0,growing,0
Dark Souls Remastered,97.91,32.7,19.62,40.0,28.0,Horror,28903.0,falling,1
Hollow Knight,74.67,77.13,61.7,20.0,19.0,Action,69159.0,stable,1
Hunt: Showdown,49.93,41.32,41.32,0.0,0.0,Roguelike,15950.0,growing,0
Tekken 8,85.05,50.05,50.05,0.0,0.0,RPG,56103.0,stable,0
Dead Cells,83.26,39.72,27.8,30.0,27.0,Action,54378.0,stable,1
Sekiro: Shadows Die Twice,94.32,58.0,11.6,80.0,11.0,Strategy,9117.0,growing,1
Monster Hunter World,58.07,8.98,8.98,0.0,0.0,Puzzle,127115.0,growing,0
Warframe,46.15,18.01,18.01,0.0,0.0,Roguelike,114712.0,growing,0
Guilty Gear Strive,68.41,27.03,8.11,70.0,28.0,Adventure,179091.0,falling,1
Nier Automata,79.25,19.84,19.84,0.0,0.0,Indie,160748.0,stable,0
Banished,49.87,66.6,59.94,10.0,12.0,Racing,143560.0,growing,1
The Outlast Trials,63.45,78.15,78.15,0.0,0.0,Metroidvania,159355.0,stable,0
The Forest,71.86,38.42,38.42,0.0,0.0,Fighting,130689.0,growing,0
Alan Wake 2,97.9,39.04,15.62,60.0,15.0,Metroidvania,132732.0,stable,1
Escape from Tarkov,71.83,59.96,35.98,40.0,11.0,Metroidvania,132197.0,stable,1
Black Desert Online,82.73,22.48,15.74,30.0,11.0,RPG,161287.0,stable,1
Cities: Skylines 2,80.95,67.11,67.11,0.0,0.0,Shooter,157285.0,stable,0
Halo Master Chief Collection,76.65,46.61,46.61,0.0,0.0,Action,37725.0,falling,0
Dota 2,47.19,27.86,8.36,70.0,12.0,Roguelike,101173.0,growing,1
Slime Rancher,50.46,14.28,14.28,0.0,0.0,Fighting,134003.0,falling,0
Euro Truck Simulator 2,83.22,55.46,22.18,60.0,29.0,Horror,21959.0,stable,1
Deep Rock Galactic,90.75,26.5,7.95,70.0,25.0,Action,111232.0,falling,1
UltraKill,75.19,49.58,9.92,80.0,17.0,Survival,98991.0,growing,1
It Takes Two,66.32,65.96,65.96,0.0,0.0,Adventure,73705.0,growing,0
Hunt: Showdown,83.84,61.67,24.67,60.0,11.0,RPG,68753.0,stable,1
Goat Simulator 3,68.78,62.97,62.97,0.0,0.0,Co-op,22039.0,falling,0
Devil May Cry 5,90.93,72.86,51.0,30.0,1.0,Racing,36105.0,falling,1
Payday 3,96.36,31.59,25.27,20.0,25.0,Indie,92644.0,falling,1
Black Desert Online,93.64,60.42,54.38,10.0,30.0,Strategy,75992.0,stable,1
Hollow Knight,78.73,22.43,11.21,50.0,25.0,Shooter,91933.0,stable,1
Far Cry 5,80.81,27.59,22.07,20.0,1.0,Horror,149109.0,falling,1
Euro Truck Simulator 2,87.31,22.13,4.43,80.0,19.0,Indie,123308.0,stable,1
Goat Simulator 3,56.76,47.23,47.23,0.0,0.0,Indie,110668.0,stable,0
Don't Starve Together,57.12,5.14,5.14,0.0,0.0,Adventure,52664.0,falling,0
Tekken 7,45.29,13.24,13.24,0.0,0.0,Action,55060.0,growing,0
Tekken 8,69.81,78.13,39.06,50.0,1.0,Co-op,135230.0,growing,1
Alan Wake 2,46.31,55.01,16.5,70.0,2.0,Strategy,180017.0,stable,1
FIFA 24,53.21,41.49,41.49,0.0,0.0,Simulation,170443.0,stable,0
Resident Evil Village,51.35,77.37,23.21,70.0,10.0,Horror,72795.0,growing,1
Little Nightmares,59.19,3.64,1.46,60.0,25.0,Adventure,91152.0,growing,1
Euro Truck Simulator 2,96.63,71.72,71.72,0.0,0.0,Simulation,165381.0,stable,0
Stardew Valley,68.45,12.64,12.64,0.0,0.0,Metroidvania,26931.0,stable,0
Tekken 8,71.49,48.61,48.61,0.0,0.0,Metroidvania,155579.0,growing,0
For Honor,83.0,66.94,66.94,0.0,0.0,Survival,62109.0,falling,0
American Truck Simulator,52.71,50.35,10.07,80.0,17.0,Shooter,117467.0,falling,1
Team Fortress 2,53.23,79.19,79.19,0.0,0.0,Shooter,72672.0,stable,0
Payday 2,78.44,46.8,28.08,40.0,19.0,Horror,166214.0,growing,1
Slime Rancher 2,52.23,27.67,13.84,50.0,5.0,Fighting,98382.0,growing,1
Dragon Ball FighterZ,84.33,33.07,16.54,50.0,7.0,Simulation,94724.0,growing,1
Slime Rancher,87.4,30.09,9.03,70.0,19.0,Action,100548.0,falling,1
Monster Hunter World,75.13,37.75,7.55,80.0,20.0,Racing,130206.0,falling,1
Devil May Cry 5,73.62,67.88,61.09,10.0,10.0,Simulation,192305.0,stable,1
Forza Horizon 5,58.46,40.42,40.42,0.0,0.0,Action,122658.0,stable,0
Monster Hunter Rise,60.26,1.68,1.18,30.0,6.0,Simulation,174387.0,growing,1
Hunt: Showdown,46.8,62.03,24.81,60.0,14.0,Action,81225.0,falling,1
Euro Truck Simulator 2,97.38,41.87,25.12,40.0,29.0,Shooter,19472.0,stable,1
Nier Automata,79.36,54.41,16.32,70.0,6.0,Co-op,130016.0,falling,1
Outlast,51.68,27.78,13.89,50.0,3.0,Strategy,46785.0,growing,1
Final Fantasy VII Remake,89.46,58.6,23.44,60.0,30.0,Sports,37092.0,stable,1
No Man's Sky,96.3,31.19,31.19,0.0,0.0,Strategy,100670.0,stable,0
UltraKill,55.11,35.07,35.07,0.0,0.0,Racing,124804.0,growing,0
Dark Souls Remastered,88.63,7.34,7.34,0.0,0.0,Survival,171878.0,growing,0
